title,currency,properties,neighborhood,title-2,title-3,price_dop
Espectacular y lujoso penthouse en San Pedro de Macorís,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""330"", ""mini_bathrooms_quantity"": ""2""}",Urbanización Oriental,San Pedro de Macorís,San Pedro de Macorís,11760000.0
"Apartamento de 2 habs en venta con Piscina, en Punta Cana",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""76""}",Otro,Bávaro/Punta Cana,La Altagracia,4984000.0
"Casas nueva en proyecto cerrado km. 14, Aut. Dte. Residencia Los Hidalgos.",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""230"", ""terrain_square_meters"": ""287"", ""mini_bathrooms_quantity"": ""1""}",La Ciénaga,Santo Domingo Oeste,Santo Domingo,6720000.0
"Alquilo terreno de 1,728.51M2, documentación en orden, km. 22, Ant. C./Duarte.",USD,"{""terrain_usage_type"": ""Industrial"", ""terrain_square_meters"": ""1728""}",,Santo Domingo Oeste,Santo Domingo,56000.0
"Terreno con un área 643,912.15M2, en la Circunvalación Sto. Dgo. Tramo-II",USD,"{""terrain_usage_type"": ""Industrial"", ""terrain_square_meters"": ""643912""}",,Santo Domingo Oeste,Santo Domingo,1960.0
VENDO Bello Apartamento En Zona Privilegiada de Naco Súper Oportunidad,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""123"", ""mini_bathrooms_quantity"": ""1""}",Ensanche Naco,Distrito Nacional,Santo Domingo,9800000.0
ALQUILO APARTAMENTO AMUEBLADO EN BELLA VISTA ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""165"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,67200.0
APARTAMENTO EN VENTA ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""217"", ""mini_bathrooms_quantity"": ""1""}",,Santo Domingo Este,Santo Domingo,12040.0
"Proyecto en Punta Cana de 1 y 2 habitaciones desde USD$78,200",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""54""}",,Bávaro/Punta Cana,La Altagracia,4379200.0
Vendo Apartamento de Oportunidad,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 3, ""build_square_meters"": 140}",La julia ,Distrito Nacional,Santo Domingo,7000000.0
Vendo edificio de 8 apartamento grande y súper cómodos. ,USD,"{""building_condition"": ""Segundo uso"", ""terrain_square_meters"": ""565""}",Residencial Naime,San Pedro de Macorís,San Pedro de Macorís,39200000.0
CASA CON 900 METROS DE TERRENO,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 4, ""bathrooms_quantity"": 4, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 750, ""terrain_square_meters"": ""858"", ""mini_bathrooms_quantity"": ""1""}",Autopista de San Isidro,Santo Domingo Este,Santo Domingo,27720000.0
Vendo Amplio Apartamento Nuevo en Alma Rosa II,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 112, ""mini_bathrooms_quantity"": 1}",Alma Rosa,Santo Domingo Este,Santo Domingo,6048000.0
📍Villas en Vista Cana ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""En planos"", ""build_square_meters"": 143, ""terrain_square_meters"": ""200"", ""mini_bathrooms_quantity"": 1}",Otro,Bávaro/Punta Cana,La Altagracia,10919944.0
NACO 315Mts 3Hab AREA SOCIAL ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""315"", ""mini_bathrooms_quantity"": ""1""}",,Distrito Nacional,Santo Domingo,128800.0
SERRALLES 397 Mts 3 Hab LINEA BLANCA  AREA SOCIAL,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""397"", ""mini_bathrooms_quantity"": ""1""}",,Distrito Nacional,Santo Domingo,151200.0
BELLA VISTA SUR 4to PISO  CLASICO 3Hab AMPLIO BALCON 330 Mts,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""330"", ""mini_bathrooms_quantity"": ""1""}",,Distrito Nacional,Santo Domingo,112000.0
"📍 LAS TERRENAS¡PROYECTO EXCLUSIVO, CON LOS MEJORES PRECIOS DE LAS TERRENAS!",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""build_square_meters"": 78}",La terrenas ,Las Terrenas,Samaná,7223944.0
"Se renta apartamento cerca de Av Juan Pablo Duarte, Santiago",USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""260"", ""mini_bathrooms_quantity"": ""1""}",Santiago ,Santiago de los Caballeros,Santiago,78400.0
 Villas en Venta en Punta Cana,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""En planos"", ""build_square_meters"": 190, ""mini_bathrooms_quantity"": 1}",,Bávaro/Punta Cana,La Altagracia,8400000.0
Alquiler de Apartamento Amueblado Los Restauradores,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""200"", ""mini_bathrooms_quantity"": ""1""}",Los Restauradores,Distrito Nacional,Santo Domingo,58800.0
Vendo Hermoso apartamento en Torre en el Evaristo Morales,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""22585"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,12040000.0
TERRENO EN OFERTA EN LA AV. 27 DE FEBRERO,USD,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": ""1611""}",El Millón,Distrito Nacional,Santo Domingo,75600.0
Apartamento en Venta,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""79""}",Bella Vista,Sosua,Puerto Plata,5544000.0
Alquiler Apartamento Amueblado en Torre En Piantini ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""75"", ""mini_bathrooms_quantity"": ""1""}",Piantini,Distrito Nacional,Santo Domingo,89600.0
MODERNOS APARTAMENTOS AV. HISPANOAMERICANA SANTIAGO.,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""En construcción"", ""build_square_meters"": 128, ""mini_bathrooms_quantity"": 1}",,Santiago de los Caballeros,Santiago,7560000.0
Vendo en bella vista,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""170"", ""mini_bathrooms_quantity"": ""1""}",Bella vista ,Distrito Nacional,Santo Domingo,10360000.0
casa,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""400"", ""terrain_square_meters"": ""400"", ""mini_bathrooms_quantity"": ""1""}",,Distrito Nacional,Santo Domingo,18200000.0
Lujosa y Amplía Torre donde puedes vivir con tu familia,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""10381"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,12614112.0
Solares Económicos Samana / Las Terrenas,USD,"{""terrain_usage_type"": ""Finca"", ""terrain_square_meters"": 42}","El Cojote de Samana, autopista Samana/Las Terrenas",Otras ciudades,Samaná,280.0
1 penthouse en venta,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""build_square_meters"": 213}",Reparto los tres ojos ,Santo Domingo Este,Santo Domingo,8120000.0
CASA MODERNA PRADO ORIENTAL,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""230"", ""terrain_square_meters"": ""175"", ""mini_bathrooms_quantity"": ""1""}",Prado Oriental,Santo Domingo Este,Santo Domingo,8960000.0
"Apartamento con vista al mar, Villa con vista a la playa , playa privada",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""build_square_meters"": 65}",Residencial los corales bavaro,Bávaro/Punta Cana,La Altagracia,168.0
"Villa, apartamento con vista a la playa , playa privada ",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""build_square_meters"": 70}",Residencial los corales bavaro,Bávaro/Punta Cana,La Altagracia,224.0
"Vendo Hermoso Pent-House Con Impresionante Vista Al Parque Mirador Sur
",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""185""}",Mirador Sur,Distrito Nacional,Santo Domingo,13160000.0
SE ALQUILA VILLA ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""80"", ""terrain_square_meters"": ""250"", ""mini_bathrooms_quantity"": ""0""}",PEDRO BRAND,Santo Domingo Oeste,Santo Domingo,7280.0
Solares en la Avenida Ecológica,USD,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": ""2900""}",Avenida Ecológica,Santo Domingo Este,Santo Domingo,18200.0
Vendo espectacular Penthouse piso 19 📍ubicado en Alma Rosa 1ra.,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""5"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""407"", ""mini_bathrooms_quantity"": ""2""}",Alma Rosa,Santo Domingo Este,Santo Domingo,29326024.0
"Casa en Residencial Cerrado, con piscina y Cancha de Tenis ",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 4, ""bathrooms_quantity"": 4, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 400, ""terrain_square_meters"": ""300"", ""mini_bathrooms_quantity"": ""1""}",Autopista de San Isidro,Santo Domingo Este,Santo Domingo,23800000.0
Terreno comercial cerca de la Sirena Autopista San Isidro,USD,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": 24600}","Autopista de San Isidro, Cerca de la Sirena y Price Smart",Santo Domingo Este,Santo Domingo,36400.0
casas en la jacobo majluta,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""240"", ""terrain_square_meters"": ""260"", ""mini_bathrooms_quantity"": ""1""}",,Santo Domingo Norte,Santo Domingo,12544000.0
Complejo de solares,USD,"{""terrain_usage_type"": ""Residencial"", ""terrain_square_meters"": ""983""}",,Jarabacoa,La Vega,3578120.0
"Apartamento última generación recién entregado, evaristo morales 3hab. y 3baños",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""160"", ""mini_bathrooms_quantity"": ""1""}",Evaristo morales,Distrito Nacional,Santo Domingo,13440000.0
Villa en Manabao,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""5"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""750"", ""terrain_square_meters"": ""6300""}",Manabao,Jarabacoa,La Vega,36400000.0
Apartamento en alquiler,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""4"", ""build_square_meters"": ""197""}",Sector Bella Vista,Distrito Nacional,Santo Domingo,84000.0
Espectacular Apartamento totalmente Amueblado,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""build_square_meters"": ""98"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,4200.0
Lujosa Villa en Casa De Campo,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""5"", ""bathrooms_quantity"": ""4"", ""build_square_meters"": ""500"", ""terrain_square_meters"": ""1707"", ""mini_bathrooms_quantity"": ""1""}",Casa De Campo,Otras ciudades,La Romana,56000.0
"PRE-VENTA DEL PROYECTO MAS LUXURY DE VISTACANA
*1 y 2 habitaciones desde USD$61,",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""31"", ""mini_bathrooms_quantity"": ""1""}",Otro,Bávaro/Punta Cana,La Altagracia,3471944.0
"Villas en Punta Cana de 2 niveles, 3 habitaciones
",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""160"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,9800000.0
"1 y 2 habitaciones desde USD$61,999.-  Punta Cana",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""31"", ""mini_bathrooms_quantity"": ""1""}",,Bávaro/Punta Cana,La Altagracia,3471944.0
vendo Casa de lujo en Santo Domingo Norte y 3 parqueos,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""240"", ""terrain_square_meters"": ""283"", ""mini_bathrooms_quantity"": ""1""}",,Santo Domingo Norte,Santo Domingo,12880000.0
"1 y 2 habitaciones desde USD$61,999.- ",USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En planos"", ""build_square_meters"": ""35""}",Otro,Bávaro/Punta Cana,La Altagracia,3471944.0
"Apartamentos en bella vista
",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""218"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,12320000.0
Apartamento en Bella Vista ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""178"", ""mini_bathrooms_quantity"": ""1""}",Bella Vista,Distrito Nacional,Santo Domingo,13720000.0
"AMUEBLADO, VISTA PANORAMICA Y EN LOS JARDINES METROPOLITANOS ",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""200"", ""mini_bathrooms_quantity"": ""2""}",Los Jardines Metropolitanos,Santiago de los Caballeros,Santiago,84000.0
Directo de Propietario: Espectacular Villa en Punta Cana Village,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""450"", ""terrain_square_meters"": ""699"", ""mini_bathrooms_quantity"": ""1""}",Otro,Bávaro/Punta Cana,La Altagracia,35000000.0
"Apartamentos Vista al Lago y Piscina, de 1 y 2 hab. en Vista Cana, Punta Cana",USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En planos"", ""build_square_meters"": ""35""}",Otro,Bávaro/Punta Cana,La Altagracia,3471944.0
Apartamento en venta en El Millon,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""153"", ""mini_bathrooms_quantity"": ""1""}",El Millón,Distrito Nacional,Santo Domingo,8680000.0
"Con una ubicación privilegiada y céntrica vendo 8,457mts2",USD,"{""property_type"": ""Residencial"", ""terrain_square_meters"": ""8457""}",Zona metropolitana,Distrito Nacional,Santo Domingo,112000.0
Apartamento en venta en residencial tranquilo y seguro santo dgo en la Jacobo ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""133""}",Otro,Santo Domingo Oeste,Santo Domingo,2492000.0
"Apartamento Nuevo, 4to. Nivel Con Azotea Privada, Residencial Cerrado, Piscina  ",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""115""}",,Santiago de los Caballeros,Santiago,7112000.0
"EN BÁVARO-PUNTA CANA!!!
¡Tenemo ell proyecto que está rompiendo paradigmas!",USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En planos"", ""build_square_meters"": ""167"", ""mini_bathrooms_quantity"": ""1""}",Los Corales,Bávaro/Punta Cana,La Altagracia,24080000.0
Villa en la Montaña,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""26671"", ""terrain_square_meters"": ""2000"", ""mini_bathrooms_quantity"": ""1""}",,Jarabacoa,La Vega,19600000.0
 AMUEBLADO* 6to Nivel - 190m2 - LOS JARDINES METROPOLITANOS - SANTIAGO ,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""build_square_meters"": 190, ""mini_bathrooms_quantity"": 1}",Los Jardines Metropolitanos,Santiago de los Caballeros,Santiago,78400.0
Casa en venta 🏠,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""100"", ""mini_bathrooms_quantity"": ""2""}",,Santo Domingo Norte,Santo Domingo,12992000.0
APARTAMENTO LUJOSO EN CONDOMINIO FRENTE AL MAR,USD,"{""property_type"": ""Amueblado"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Nuevo"", ""build_square_meters"": 220, ""mini_bathrooms_quantity"": 1}",El Batey,Sosua,Puerto Plata,25200000.0
"Local para oficina, call center o Gym en Evaristo",USD,"{""property_type"": ""Sin Amueblar"", ""build_square_meters"": 488}",Evaristo Morales,Distrito Nacional,Santo Domingo,1176.0
 apartamentos en santiago,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 4, ""bathrooms_quantity"": 3, ""build_square_meters"": 182, ""mini_bathrooms_quantity"": 1}",Cerros de gurabo ,Santiago de los Caballeros,Santiago,14280000.0
Naco venta inmediata,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""189"", ""mini_bathrooms_quantity"": ""1""}",Ensanche Naco,Distrito Nacional,Santo Domingo,11760000.0
oportunidad en gazcue,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""165""}",Gazcue,Distrito Nacional,Santo Domingo,7672000.0
"Casa solar en naco, excelente ubicacion, 600 mts, 9 amplios espacios.",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""9"", ""bathrooms_quantity"": ""6"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""600"", ""mini_bathrooms_quantity"": ""2""}",Ensanche Naco,Distrito Nacional,Santo Domingo,58800.0
"Espacioso Apartamento en Ensanche naco, 3 habitaciones, 3 baños, 1 medio baño.",USD,"{""terrain_usage_type"": ""Comercial"", ""terrain_square_meters"": ""11000""}",,Santo Domingo Norte,Santo Domingo,7616000.0
VENTA DE CASA EN GAZCUE ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""277"", ""terrain_square_meters"": ""701"", ""mini_bathrooms_quantity"": ""1""}",Gazcue,Distrito Nacional,Santo Domingo,31463712.0
PROYECTO DE 4 VILLAS MODERNAS Y FUNCIONALES EN JUAN DOLIO,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 3, ""building_condition"": ""planned"", ""build_square_meters"": 155, ""terrain_square_meters"": 440}",Metro Country Club ,Juan Dolio,San Pedro de Macorís,12824000.0
Venta de apartamento Nuevo Distrito Nacional,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 2, ""building_condition"": ""Nuevo"", ""build_square_meters"": 170}",El Millón,Distrito Nacional,Santo Domingo,8960000.0
HERMOSO APARTAMENTO EN LA CAYETANO GERMOSEN,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Segundo uso"", ""build_square_meters"": 280, ""mini_bathrooms_quantity"": 1}",Mirador Sur ,Distrito Nacional,Santo Domingo,10640000.0
Apartamento en Venta de Oportunidad en Mirador Sur a un paso de La Anacaona,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""270"", ""mini_bathrooms_quantity"": ""1""}",Mirador Sur,Distrito Nacional,Santo Domingo,21744107.0
Alquilo Penthouse con Línea Blanca en La Esperilla,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""build_square_meters"": ""298"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales,Distrito Nacional,Santo Domingo,140000.0
Proyecto de Apartamento en Naco,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""111"", ""mini_bathrooms_quantity"": ""1""}",Naco,Distrito Nacional,Santo Domingo,11704000.0
Apartamento en venta Última unidad ❗️,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 3, ""bathrooms_quantity"": 3, ""building_condition"": ""Nuevo"", ""build_square_meters"": 180, ""mini_bathrooms_quantity"": 1}",Alma Rosa I,Santo Domingo Este,Santo Domingo,13440000.0
CANA BAY - PUNTA CANA,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 2, ""building_condition"": ""En construcción"", ""build_square_meters"": 115}",Punta Cana,Higüey,La Altagracia,10038280.0
Venta de casas en plano en Alma Rosa 2da entrega en octubre 2022,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""Nuevo"", ""build_square_meters"": ""147"", ""terrain_square_meters"": ""110"", ""mini_bathrooms_quantity"": ""2""}",,Santo Domingo Este,Santo Domingo,7560000.0
Hermosa casa de dos niveles en venta en la autopista de san Isidro con jacuzzi,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""357"", ""terrain_square_meters"": ""240"", ""mini_bathrooms_quantity"": ""3""}",,Santo Domingo Este,Santo Domingo,10360000.0
Venta de casa en residencial los Alpes 2 carretera de san Isidro,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""5"", ""bathrooms_quantity"": ""5"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""396"", ""terrain_square_meters"": ""309"", ""mini_bathrooms_quantity"": ""5""}",,Santo Domingo Este,Santo Domingo,14560000.0
Local para Oficinas en Torre Empresarial en Evaristo Morales,USD,"{""property_type"": ""Sin Amueblar"", ""offices_quantity"": ""9"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""347""}",EVARISTO MORALES,Distrito Nacional,Santo Domingo,350280.0
Local para Oficina próximo a la Av. Winston Churchill,USD,"{""property_type"": ""Sin Amueblar"", ""bathrooms_quantity"": ""2"", ""build_square_meters"": ""142""}",EVARISTO MORALES,Distrito Nacional,Santo Domingo,143136.0
COMPLEJO DE APARTAMENTOS DE 2 HABITACIONES,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": 2, ""bathrooms_quantity"": 1, ""building_condition"": ""En planos"", ""build_square_meters"": 51, ""mini_bathrooms_quantity"": 0}",,Bávaro/Punta Cana,La Altagracia,7224000.0
"La Esperilla, 1 habitación , en torre en construcción.",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""1"", ""bathrooms_quantity"": ""1"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""68"", ""mini_bathrooms_quantity"": ""1""}",La Esperilla,Distrito Nacional,Santo Domingo,7616000.0
Venta de Casa Gazcue ,USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""4"", ""bathrooms_quantity"": ""5"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""550"", ""terrain_square_meters"": ""650"", ""mini_bathrooms_quantity"": ""1""}",Gazcue,Distrito Nacional,Santo Domingo,45116960.0
Apartamento en 9no piso de venta en Versalles,USD,"{""property_type"": ""Con linea blanca"", ""rooms_quantity"": ""2"", ""bathrooms_quantity"": ""2"", ""building_condition"": ""En construcción"", ""build_square_meters"": ""82"", ""mini_bathrooms_quantity"": ""1""}",La esmeralda ,Santiago de los Caballeros,Santiago,9408000.0
"El Conde, Vendemos local de 2.000 metros cuadrados, con salida a las mercedes.",USD,"{""property_type"": ""Sin Amueblar"", ""offices_quantity"": ""3"", ""bathrooms_quantity"": ""4"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""2000"", ""terrain_square_meters"": ""1000""}",Zona Colonial,Distrito Nacional,Santo Domingo,56.0
"Apartamento remodelado, Evaristo Morales",USD,"{""property_type"": ""Sin Amueblar"", ""rooms_quantity"": ""3"", ""bathrooms_quantity"": ""3"", ""building_condition"": ""Segundo uso"", ""build_square_meters"": ""228"", ""mini_bathrooms_quantity"": ""1""}",Evaristo Morales ,Distrito Nacional,Santo Domingo,14280000.0
